Iteration,TrainingPercent,ClassifierName,FeatureSelection,Balancing,CostSensitive,Precision,Recall,AUC,Kappa,F1,TP,FP,TN,FN,Cost,Filename,Npofb20
3,66.34615384615384,IBk,none,none,Sensitive Threshold,0.0833333333333333,0.3333333333333333,0.6356209150326797,0.0918163672654688,0.1333333333333333,1.0,11.0,91.0,2.0,31.0,AVRO_IBk_SensitiveThreshold_3.csv,0.3333333333333333
3,66.34615384615384,RandomForest,none,none,Sensitive Threshold,0.04,0.3333333333333333,0.4950980392156863,0.0215053763440861,0.0714285714285714,1.0,24.0,78.0,2.0,44.0,AVRO_RandomForest_SensitiveThreshold_3.csv,0.0
3,66.34615384615384,NaiveBayes,none,none,Sensitive Threshold,0.25,0.6666666666666666,0.9117647058823528,0.3360433604336044,0.3636363636363636,2.0,6.0,96.0,1.0,16.0,AVRO_NaiveBayes_SensitiveThreshold_3.csv,0.6666666666666666
3,66.34615384615384,IBk,Best First,none,Sensitive Threshold,0.125,0.6666666666666666,0.8006535947712419,0.1706161137440753,0.2105263157894736,2.0,14.0,88.0,1.0,24.0,AVRO_IBk_BestFirst_SensitiveThreshold_3.csv,0.6666666666666666
3,66.34615384615384,RandomForest,Best First,none,Sensitive Threshold,0.0434782608695652,0.3333333333333333,0.6013071895424836,0.0277777777777781,0.0769230769230769,1.0,22.0,80.0,2.0,42.0,AVRO_RandomForest_BestFirst_SensitiveThreshold_3.csv,0.0
3,66.34615384615384,NaiveBayes,Best First,none,Sensitive Threshold,0.0422535211267605,1.0,0.934640522875817,0.0277777777777778,0.081081081081081,3.0,68.0,34.0,0.0,68.0,AVRO_NaiveBayes_BestFirst_SensitiveThreshold_3.csv,0.0
3,66.34615384615384,IBk,none,SMOTE,none,0.0769230769230769,0.3333333333333333,0.630718954248366,0.0823970037453183,0.125,1.0,12.0,90.0,2.0,32.0,AVRO_IBk_SMOTE_3.csv,0.3333333333333333
3,66.34615384615384,RandomForest,none,SMOTE,none,0.2,0.3333333333333333,0.4248366013071895,0.2222222222222218,0.25,1.0,4.0,98.0,2.0,24.0,AVRO_RandomForest_SMOTE_3.csv,0.3333333333333333
3,66.34615384615384,NaiveBayes,none,SMOTE,none,0.3333333333333333,0.3333333333333333,0.8856209150326797,0.3137254901960788,0.3333333333333333,1.0,2.0,100.0,2.0,22.0,AVRO_NaiveBayes_SMOTE_3.csv,0.3333333333333333
3,66.34615384615384,IBk,Best First,SMOTE,none,0.0555555555555555,0.3333333333333333,0.6062091503267973,0.0486409155937049,0.0952380952380952,1.0,17.0,85.0,2.0,37.0,AVRO_IBk_BestFirst_SMOTE_3.csv,0.3333333333333333
3,66.34615384615384,RandomForest,Best First,SMOTE,none,0.1666666666666666,0.3333333333333333,0.5032679738562091,0.1914191419141915,0.2222222222222222,1.0,5.0,97.0,2.0,25.0,AVRO_RandomForest_BestFirst_SMOTE_3.csv,0.3333333333333333
3,66.34615384615384,NaiveBayes,Best First,SMOTE,none,0.25,0.6666666666666666,0.937908496732026,0.3360433604336044,0.3636363636363636,2.0,6.0,96.0,1.0,16.0,AVRO_NaiveBayes_BestFirst_SMOTE_3.csv,0.0
4,79.57198443579766,IBk,none,none,none,0.0,0.0,0.5518053375196232,-0.0629921259842519,0.0,0.0,4.0,87.0,14.0,144.0,AVRO_IBk__4.csv,0.1428571428571428
