Iteration,TrainingPercent,ClassifierName,FeatureSelection,Balancing,CostSensitive,Precision,Recall,AUC,Kappa,F1,TP,FP,TN,FN,Cost
5,63.378545006165226,NaiveBayes,Best First,SMOTE,none,0.031746031746031744,0.23529411764705882,0.44432773109243695,-0.049964647654961086,0.055944055944055944,4.0,122.0,158.0,13.0,252.0
6,79.35897435897436,IBk,none,none,none,0.375,0.75,0.9124203821656051,0.48286937901498966,0.5,3.0,5.0,152.0,1.0,15.0
6,79.35897435897436,RandomForest,none,none,none,0.5,0.25,0.9187898089171974,0.3221052631578945,0.3333333333333333,1.0,1.0,156.0,3.0,31.0
6,79.35897435897436,NaiveBayes,none,none,none,0.2727272727272727,0.75,0.7292993630573248,0.3773098409969918,0.39999999999999997,3.0,8.0,149.0,1.0,18.0
6,79.35897435897436,IBk,Best First,none,none,0.0625,0.25,0.696656050955414,0.06274256144890052,0.1,1.0,15.0,142.0,3.0,45.0
6,79.35897435897436,RandomForest,Best First,none,none,0.3333333333333333,0.25,0.8941082802547771,0.27017225747960144,0.28571428571428575,1.0,2.0,155.0,3.0,32.0
6,79.35897435897436,NaiveBayes,Best First,none,none,0.5,0.5,0.7468152866242038,0.48726114649681385,0.5,2.0,2.0,155.0,2.0,22.0
6,79.35897435897436,IBk,none,none,Sensitive Threshold,0.3333333333333333,0.75,0.9124203821656051,0.44235526966848115,0.46153846153846156,3.0,6.0,151.0,1.0,16.0
6,79.35897435897436,RandomForest,none,none,Sensitive Threshold,0.125,0.5,0.9060509554140127,0.16688227684346732,0.2,2.0,14.0,143.0,2.0,34.0
6,79.35897435897436,NaiveBayes,none,none,Sensitive Threshold,0.16666666666666666,0.75,0.7292993630573248,0.24190700412007096,0.27272727272727276,3.0,15.0,142.0,1.0,25.0
6,79.35897435897436,IBk,Best First,none,Sensitive Threshold,0.05263157894736842,0.25,0.696656050955414,0.04787383835539279,0.08695652173913043,1.0,18.0,139.0,3.0,48.0
6,79.35897435897436,RandomForest,Best First,none,Sensitive Threshold,0.1,0.5,0.8073248407643312,0.13066954643628514,0.16666666666666669,2.0,18.0,139.0,2.0,38.0
6,79.35897435897436,NaiveBayes,Best First,none,Sensitive Threshold,0.17647058823529413,0.75,0.7468152866242038,0.25577812018490026,0.2857142857142857,3.0,14.0,143.0,1.0,24.0
6,79.35897435897436,IBk,none,SMOTE,none,0.15,0.75,0.8734076433121019,0.21760259179265679,0.24999999999999997,3.0,17.0,140.0,1.0,27.0
6,79.35897435897436,RandomForest,none,SMOTE,none,0.09090909090909091,0.5,0.8869426751592356,0.11670822942643386,0.15384615384615385,2.0,20.0,137.0,2.0,40.0
6,79.35897435897436,NaiveBayes,none,SMOTE,none,0.13636363636363635,0.75,0.7436305732484076,0.19700748129675819,0.23076923076923075,3.0,19.0,138.0,1.0,29.0
6,79.35897435897436,IBk,Best First,SMOTE,none,0.1,0.5,0.7945859872611465,0.13066954643628514,0.16666666666666669,2.0,18.0,139.0,2.0,38.0
6,79.35897435897436,RandomForest,Best First,SMOTE,none,0.09090909090909091,0.5,0.8734076433121019,0.11670822942643386,0.15384615384615385,2.0,20.0,137.0,2.0,40.0
6,79.35897435897436,NaiveBayes,Best First,SMOTE,none,0.06976744186046512,0.75,0.7452229299363057,0.0861138031288937,0.1276595744680851,3.0,40.0,117.0,1.0,50.0
7,84.81481481481481,IBk,none,none,none,0.2,0.375,0.8088942307692307,0.2106455266138166,0.26086956521739135,3.0,12.0,144.0,5.0,62.0
7,84.81481481481481,RandomForest,none,none,none,0.3333333333333333,0.25,0.7916666666666666,0.25454545454545385,0.28571428571428575,2.0,4.0,152.0,6.0,64.0
7,84.81481481481481,NaiveBayes,none,none,none,0.3333333333333333,0.25,0.8705929487179487,0.25454545454545385,0.28571428571428575,2.0,4.0,152.0,6.0,64.0
