Iteration,TrainingPercent,ClassifierName,FeatureSelection,Balancing,CostSensitive,Precision,Recall,AUC,Kappa,F1,TP,FP,TN,FN,Cost
1,40.32846715328467,NaiveBayes,none,SMOTE,none,0.05714285714285714,1.0,0.7993527508090615,0.004428452809299751,0.1081081081081081,18.0,297.0,12.0,0.0,297.0
1,40.32846715328467,IBk,Best First,SMOTE,none,0.09722222222222222,0.7777777777777778,0.6810499820208558,0.08311362209667299,0.17283950617283952,14.0,130.0,179.0,4.0,170.0
1,40.32846715328467,RandomForest,Best First,SMOTE,none,0.12631578947368421,0.6666666666666666,0.7561129090255304,0.132056902567773,0.21238938053097345,12.0,83.0,226.0,6.0,143.0
1,40.32846715328467,NaiveBayes,Best First,SMOTE,none,0.12195121951219512,0.5555555555555556,0.7725638259618842,0.12061315046389669,0.2,10.0,72.0,237.0,8.0,152.0
2,55.19399249061327,IBk,none,none,none,0.29292929292929293,0.5087719298245614,0.6628198402984204,0.21269242852654735,0.3717948717948718,29.0,70.0,231.0,28.0,350.0
2,55.19399249061327,RandomForest,none,none,none,0.35051546391752575,0.5964912280701754,0.7792737658098735,0.30144756545809315,0.44155844155844154,34.0,63.0,238.0,23.0,293.0
2,55.19399249061327,NaiveBayes,none,none,none,0.47368421052631576,0.15789473684210525,0.8203648656525033,0.1708330005590609,0.23684210526315788,9.0,10.0,291.0,48.0,490.0
2,55.19399249061327,IBk,Best First,none,none,0.27358490566037735,0.5087719298245614,0.6695226438188494,0.18759455370650505,0.3558282208588957,29.0,77.0,224.0,28.0,357.0
2,55.19399249061327,RandomForest,Best First,none,none,0.2962962962962963,0.5614035087719298,0.7466923121757884,0.2266991744728175,0.3878787878787879,32.0,76.0,225.0,25.0,326.0
2,55.19399249061327,NaiveBayes,Best First,none,none,0.6153846153846154,0.42105263157894735,0.8273882380369528,0.42570683777822355,0.5,24.0,15.0,286.0,33.0,345.0
2,55.19399249061327,IBk,none,none,Sensitive Threshold,0.29292929292929293,0.5087719298245614,0.6628198402984204,0.21269242852654735,0.3717948717948718,29.0,70.0,231.0,28.0,350.0
2,55.19399249061327,RandomForest,none,none,Sensitive Threshold,0.24774774774774774,0.9649122807017544,0.7544151075362826,0.18869847399898093,0.39426523297491034,55.0,167.0,134.0,2.0,187.0
2,55.19399249061327,NaiveBayes,none,none,Sensitive Threshold,0.5357142857142857,0.2631578947368421,0.8203648656525033,0.2771128570379614,0.35294117647058815,15.0,13.0,288.0,42.0,433.0
2,55.19399249061327,IBk,Best First,none,Sensitive Threshold,0.2636363636363636,0.5087719298245614,0.6695226438188494,0.17406764593828028,0.34730538922155685,29.0,81.0,220.0,28.0,361.0
2,55.19399249061327,RandomForest,Best First,none,Sensitive Threshold,0.2107843137254902,0.7543859649122807,0.7052515008451361,0.10732096548972667,0.32950191570881227,43.0,161.0,140.0,14.0,301.0
2,55.19399249061327,NaiveBayes,Best First,none,Sensitive Threshold,0.4225352112676056,0.5263157894736842,0.8273882380369528,0.35478399151868534,0.46874999999999994,30.0,41.0,260.0,27.0,311.0
2,55.19399249061327,IBk,none,SMOTE,none,0.2912621359223301,0.5263157894736842,0.66593810106662,0.21384338354780613,0.37499999999999994,30.0,73.0,228.0,27.0,343.0
2,55.19399249061327,RandomForest,none,SMOTE,none,0.30927835051546393,0.5263157894736842,0.7412426414874396,0.23646594364024143,0.38961038961038963,30.0,67.0,234.0,27.0,337.0
2,55.19399249061327,NaiveBayes,none,SMOTE,none,0.4,0.49122807017543857,0.8194614443084456,0.3219335218481566,0.4409448818897638,28.0,42.0,259.0,29.0,332.0
2,55.19399249061327,IBk,Best First,SMOTE,none,0.29292929292929293,0.5087719298245614,0.6571661712420587,0.21269242852654735,0.3717948717948718,29.0,70.0,231.0,28.0,350.0
