@relation avro_Training_8

@attribute LOC numeric
@attribute authors_number numeric
@attribute revisions_number numeric
@attribute touched_loc numeric
@attribute total_add_lines numeric
@attribute average_add_lines numeric
@attribute max_add_lines numeric
@attribute total_churn numeric
@attribute max_churn numeric
@attribute number_fix numeric
@attribute cyclomatic_complexity numeric
@attribute average_churn numeric
@attribute days_between_commits numeric
@attribute buggy {'YES', 'NO'}

@data
62,1,2,89,87,43.50,84,87,84,0,6,43.50,38.00,NO
30,1,1,54,54,54.00,54,54,54,0,3,54.00,0.00,NO
49,1,1,78,78,78.00,78,78,78,0,5,78.00,0.00,NO
69,2,2,108,103,51.50,82,98,82,0,7,49.00,10.00,NO
46,1,2,80,79,39.50,78,78,78,0,10,39.00,2.00,NO
52,1,1,77,77,77.00,77,77,77,0,6,77.00,0.00,NO
61,2,3,101,99,33.00,81,97,81,0,11,32.33,3.50,NO
135,1,2,196,186,93.00,140,180,140,0,16,90.00,23.00,NO
91,1,2,149,136,68.00,98,129,98,0,9,64.50,23.00,NO
9,1,2,53,52,26.00,51,51,51,0,2,25.50,2.00,NO
36,1,2,71,71,35.50,57,71,57,0,6,35.50,23.00,NO
60,1,2,92,92,46.00,87,92,87,0,12,46.00,23.00,NO
8,1,1,3,3,3.00,3,3,3,0,1,3.00,0.00,NO
7,1,1,3,3,3.00,3,3,3,0,1,3.00,0.00,NO
279,1,3,45,39,13.00,27,33,23,1,62,11.00,28.00,NO
737,2,12,418,278,23.17,111,210,84,3,186,17.50,7.82,NO
5,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
14,1,1,3,1,1.00,1,1,1,0,1,1.00,0.00,NO
101,1,3,214,68,22.67,46,126,108,0,26,42.00,39.00,NO
113,1,1,177,177,177.00,177,177,177,0,31,177.00,0.00,NO
163,1,3,258,148,49.33,87,170,99,0,26,56.67,27.00,NO
13,1,1,2,2,2.00,2,2,2,0,6,2.00,0.00,NO
8,0,0,0,0,0.00,0,0,0,0,5,0.00,0.00,NO
7,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
5,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
408,1,5,145,96,19.20,58,89,59,3,148,17.80,14.75,NO
351,1,5,70,40,8.00,9,30,10,2,130,6.00,12.25,NO
126,1,3,12,9,3.00,7,6,6,2,31,2.00,24.50,NO
4,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
7,1,1,14,10,10.00,10,6,6,0,1,6.00,0.00,NO
29,1,2,8,3,1.50,3,8,5,0,5,4.00,29.00,NO
27,1,1,6,3,3.00,3,0,0,0,4,0.00,0.00,NO
156,0,0,0,0,0.00,0,0,0,0,38,0.00,0.00,NO
206,0,0,0,0,0.00,0,0,0,0,53,0.00,0.00,NO
176,0,0,0,0,0.00,0,0,0,0,30,0.00,0.00,NO
416,1,1,9,0,0.00,0,9,9,0,86,9.00,0.00,NO
7,0,0,0,0,0.00,0,0,0,0,2,0.00,0.00,NO
7,0,0,0,0,0.00,0,0,0,0,2,0.00,0.00,NO
32,0,0,0,0,0.00,0,0,0,0,23,0.00,0.00,NO
36,1,1,8,2,2.00,2,6,6,0,23,6.00,0.00,NO
361,1,2,71,48,24.00,30,25,18,0,111,12.50,0.00,NO
