className,loc,authorsNumber,revisionsNumber,touchedLoc,totalAddedLines,averageAddedLines,maxAddedLines,totalChurn,maxChurn,numberFix,cyclomaticComplexity,averageChurn,daysBetweenCommits,buggy
"src/java/org/apache/avro/io/DatumWriter.java",35,1,1,1,1,1.0,1,1,1,0,2,1.0,0.0,false
"src/java/org/apache/avro/io/Decoder.java",279,1,3,17,5,1.6666666,3,11,9,0,23,3.6666667,13.5,false
"src/java/org/apache/avro/io/Encoder.java",274,1,1,2,1,1.0,1,2,2,0,24,2.0,0.0,false
"src/java/org/apache/avro/io/JsonDecoder.java",398,1,3,433,416,138.66667,397,417,397,1,104,139.0,13.5,false
"src/java/org/apache/avro/io/JsonEncoder.java",240,1,3,255,248,82.666664,239,245,239,1,45,81.666664,13.5,true
"src/java/org/apache/avro/io/ParsingDecoder.java",74,1,2,75,75,37.5,74,75,74,0,29,37.5,6.0,false
"src/java/org/apache/avro/io/ParsingEncoder.java",69,1,3,70,70,23.333334,52,70,52,0,8,23.333334,22.0,false
"src/java/org/apache/avro/io/ResolvingDecoder.java",203,1,2,163,72,36.0,71,93,92,0,44,46.5,6.0,false
"src/java/org/apache/avro/io/ValidatingDecoder.java",229,1,2,280,76,38.0,75,176,175,0,40,88.0,6.0,false
"src/java/org/apache/avro/io/ValidatingEncoder.java",202,1,2,186,82,41.0,81,84,83,0,29,42.0,6.0,false
"src/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java",102,1,2,103,103,51.5,102,103,102,0,20,51.5,6.0,true
"src/java/org/apache/avro/io/parsing/Parser.java",144,1,2,149,147,73.5,144,145,144,0,15,72.5,6.0,true
"src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java",337,1,3,340,339,113.0,337,338,337,1,81,112.666664,13.5,false
"src/java/org/apache/avro/io/parsing/SkipParser.java",94,1,2,99,97,48.5,94,95,94,0,11,47.5,6.0,false
"src/java/org/apache/avro/io/parsing/Symbol.java",382,1,2,383,383,191.5,382,383,382,0,11,191.5,6.0,true
"src/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java",138,1,3,141,140,46.666668,138,139,138,1,22,46.333332,13.5,false
"src/java/org/apache/avro/ipc/AvroRemoteException.java",40,1,1,1,1,1.0,1,1,1,0,1,1.0,0.0,false
"src/java/org/apache/avro/ipc/ByteBufferInputStream.java",86,1,1,3,2,2.0,2,1,1,0,13,1.0,0.0,false
"src/java/org/apache/avro/ipc/ByteBufferOutputStream.java",90,1,1,10,7,7.0,7,4,4,0,6,4.0,0.0,false
"src/java/org/apache/avro/ipc/RPCContext.java",149,1,1,149,149,149.0,149,149,149,0,5,149.0,0.0,false
"src/java/org/apache/avro/ipc/RPCPlugin.java",74,1,1,74,74,74.0,74,74,74,0,1,74.0,0.0,false
"src/java/org/apache/avro/ipc/Requestor.java",231,1,2,59,54,27.0,53,49,48,0,33,24.5,4.0,false
"src/java/org/apache/avro/ipc/Responder.java",221,1,2,68,58,29.0,40,48,36,0,25,24.0,4.0,false
"src/java/org/apache/avro/ipc/SocketServer.java",110,1,1,3,2,2.0,2,1,1,0,12,1.0,0.0,false
"src/java/org/apache/avro/ipc/SocketTransceiver.java",94,1,1,6,4,4.0,4,2,2,0,11,2.0,0.0,false
"src/java/org/apache/avro/ipc/Transceiver.java",42,1,1,5,3,3.0,3,1,1,0,5,1.0,0.0,false
"src/java/org/apache/avro/reflect/FixedSize.java",36,1,2,13,10,5.0,6,7,4,1,1,3.5,15.0,false
"src/java/org/apache/avro/reflect/ReflectData.java",304,1,4,125,93,23.25,40,67,27,1,77,16.75,16.0,true
"src/java/org/apache/avro/reflect/ReflectDatumReader.java",117,1,3,22,11,3.6666667,6,12,6,2,11,4.0,13.5,true
"src/java/org/apache/avro/reflect/ReflectDatumWriter.java",65,1,7,62,30,4.285714,16,34,14,3,4,4.857143,8.0,true
"src/java/org/apache/avro/reflect/ReflectRequestor.java",113,1,4,39,34,8.5,18,29,16,0,13,7.25,12.0,false
"src/java/org/apache/avro/reflect/ReflectResponder.java",128,1,3,9,7,2.3333333,5,5,4,0,35,1.6666666,18.0,true
"src/java/org/apache/avro/specific/ProtocolTask.java",105,1,1,5,3,3.0,3,1,1,0,18,1.0,0.0,false
"src/java/org/apache/avro/specific/SchemaTask.java",28,1,1,1,1,1.0,1,1,1,0,2,1.0,0.0,false
"src/java/org/apache/avro/specific/SpecificCompiler.java",287,1,4,27,23,5.75,12,19,11,0,72,4.75,12.0,true
"src/java/org/apache/avro/specific/SpecificData.java",70,1,2,83,77,38.5,67,71,67,0,8,35.5,1.0,true
"src/java/org/apache/avro/specific/SpecificDatumReader.java",47,1,2,4,2,1.0,1,2,2,1,1,1.0,15.0,true
"src/java/org/apache/avro/specific/SpecificDatumWriter.java",35,1,2,4,2,1.0,1,2,2,1,1,1.0,15.0,false
"src/java/org/apache/avro/specific/SpecificExceptionBase.java",40,1,2,3,2,1.0,1,1,1,0,1,0.5,36.0,false
"src/java/org/apache/avro/specific/SpecificFixed.java",28,1,1,1,1,1.0,1,1,1,0,1,1.0,0.0,false
"src/java/org/apache/avro/specific/SpecificRecord.java",27,1,2,6,3,1.5,2,2,1,0,1,1.0,36.0,false
"src/java/org/apache/avro/specific/SpecificRecordBase.java",71,1,2,18,13,6.5,12,8,7,0,9,4.0,36.0,false
"src/java/org/apache/avro/specific/SpecificRequestor.java",80,1,5,47,36,7.2,13,29,13,1,7,5.8,9.0,false
"src/java/org/apache/avro/specific/SpecificResponder.java",40,1,2,4,2,1.0,1,2,2,1,1,1.0,15.0,true
"src/java/org/apache/avro/util/Utf8.java",87,1,2,17,12,6.0,8,11,9,0,12,5.5,36.0,false
"src/java/org/apache/avro/io/ParsingTable.java",383,0,0,0,0,0.0,0,0,0,0,34,0.0,0.0,false
"src/java/org/apache/avro/io/ResolvingTable.java",489,0,0,0,0,0.0,0,0,0,0,93,0.0,0.0,false
"src/java/org/apache/avro/AvroRuntimeException.java",25,1,1,1,1,1.0,1,1,1,0,1,1.0,0.0,false
"src/java/org/apache/avro/AvroTypeException.java",25,0,0,0,0,0.0,0,0,0,0,1,0.0,0.0,false
"src/java/org/apache/avro/Protocol.java",354,1,1,17,15,15.0,15,13,13,0,59,13.0,0.0,true
"src/java/org/apache/avro/Schema.java",775,1,1,144,95,95.0,95,70,70,0,161,70.0,0.0,true
"src/java/org/apache/avro/SchemaParseException.java",25,1,1,1,1,1.0,1,1,1,0,1,1.0,0.0,false
"src/java/org/apache/avro/file/DataFileConstants.java",38,1,1,38,38,38.0,38,38,38,1,1,38.0,0.0,false
"src/java/org/apache/avro/file/DataFileReader.java",226,1,1,30,19,19.0,19,8,8,1,44,8.0,0.0,false
"src/java/org/apache/avro/file/DataFileWriter.java",199,1,1,25,9,9.0,9,9,9,1,20,9.0,0.0,false
"src/java/org/apache/avro/file/SeekableFileInput.java",34,0,0,0,0,0.0,0,0,0,0,5,0.0,0.0,false
"src/java/org/apache/avro/file/SeekableInput.java",36,0,0,0,0,0.0,0,0,0,0,5,0.0,0.0,false
"src/java/org/apache/avro/generic/GenericArray.java",36,0,0,0,0,0.0,0,0,0,0,1,0.0,0.0,false
"src/java/org/apache/avro/generic/GenericContainer.java",26,0,0,0,0,0.0,0,0,0,0,1,0.0,0.0,false
"src/java/org/apache/avro/generic/GenericData.java",441,1,2,13,13,6.5,12,13,12,0,135,6.5,15.0,true
"src/java/org/apache/avro/generic/GenericDatumReader.java",465,1,1,7,5,5.0,5,3,3,0,130,3.0,0.0,true
"src/java/org/apache/avro/generic/GenericDatumWriter.java",191,0,0,0,0,0.0,0,0,0,0,30,0.0,0.0,true
"src/java/org/apache/avro/generic/GenericFixed.java",24,0,0,0,0,0.0,0,0,0,0,1,0.0,0.0,false
"src/java/org/apache/avro/generic/GenericRecord.java",24,0,0,0,0,0.0,0,0,0,0,1,0.0,0.0,false
"src/java/org/apache/avro/generic/GenericRequestor.java",57,0,0,0,0,0.0,0,0,0,0,5,0.0,0.0,false
"src/java/org/apache/avro/generic/GenericResponder.java",54,0,0,0,0,0.0,0,0,0,0,4,0.0,0.0,false
