@relation bookkeeper_Training_4

@attribute LOC numeric
@attribute authors_number numeric
@attribute revisions_number numeric
@attribute touched_loc numeric
@attribute total_add_lines numeric
@attribute average_add_lines numeric
@attribute max_add_lines numeric
@attribute total_churn numeric
@attribute max_churn numeric
@attribute number_fix numeric
@attribute cyclomatic_complexity numeric
@attribute average_churn numeric
@attribute days_between_commits numeric
@attribute buggy {'YES', 'NO'}

@data
29,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
105,1,1,105,105,105.00,105,105,105,0,2,105.00,0.00,NO
72,0,0,0,0,0.00,0,0,0,0,2,0.00,0.00,NO
37,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
47,1,1,14,5,5.00,5,4,4,0,1,4.00,0.00,NO
31,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
90,1,3,28,21,7.00,15,14,12,2,3,4.67,2.00,NO
223,2,9,331,194,21.56,68,239,84,3,14,26.56,20.13,NO
214,2,3,252,233,77.67,153,214,153,0,25,71.33,40.00,NO
107,2,3,46,37,12.33,29,28,24,2,2,9.33,44.00,NO
37,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
27,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
48,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
166,1,2,166,166,83.00,149,166,149,1,11,83.00,141.00,NO
213,1,4,269,241,60.25,163,267,163,1,26,66.75,47.00,NO
866,1,1,866,866,866.00,866,866,866,0,109,866.00,0.00,NO
159,1,3,221,190,63.33,118,159,118,0,1,53.00,69.00,NO
100,1,2,108,104,52.00,100,100,100,1,1,50.00,11.00,NO
96,1,2,104,100,50.00,96,96,96,1,1,48.00,37.00,NO
841,1,7,945,893,127.57,559,847,559,2,102,121.00,23.50,NO
525,3,9,165,127,14.11,40,89,28,3,51,9.89,22.88,NO
83,1,1,8,7,7.00,7,6,6,1,1,6.00,0.00,NO
63,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
76,0,0,0,0,0.00,0,0,0,0,3,0.00,0.00,NO
202,1,2,22,22,11.00,11,22,11,2,12,11.00,0.00,NO
155,2,2,25,10,5.00,7,7,6,0,15,3.50,38.00,NO
1262,3,11,1034,695,63.18,330,762,405,6,96,69.27,17.30,NO
74,0,0,0,0,0.00,0,0,0,0,9,0.00,0.00,NO
101,2,2,31,19,9.50,18,11,9,0,9,5.50,117.00,NO
27,1,1,27,27,27.00,27,27,27,0,1,27.00,0.00,NO
22,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
489,2,3,14,11,3.67,5,8,5,0,56,2.67,32.50,NO
62,0,0,0,0,0.00,0,0,0,0,5,0.00,0.00,NO
59,1,1,7,4,4.00,4,1,1,0,1,1.00,0.00,NO
99,1,1,5,5,5.00,5,5,5,0,2,5.00,0.00,NO
27,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
77,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
846,2,8,498,301,37.63,128,318,180,5,36,39.75,23.86,NO
64,1,2,4,2,1.00,1,0,0,2,1,0.00,36.00,NO
45,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
63,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
54,1,1,17,17,17.00,17,17,17,0,3,17.00,0.00,NO
64,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
132,1,1,10,9,9.00,9,8,8,0,15,8.00,0.00,NO
177,1,2,9,7,3.50,5,5,4,0,7,2.50,11.00,NO
70,1,1,70,70,70.00,70,70,70,0,2,70.00,0.00,NO
36,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
58,0,0,0,0,0.00,0,0,0,0,3,0.00,0.00,NO
62,0,0,0,0,0.00,0,0,0,0,2,0.00,0.00,NO
132,0,0,0,0,0.00,0,0,0,0,9,0.00,0.00,NO
74,0,0,0,0,0.00,0,0,0,0,4,0.00,0.00,NO
83,0,0,0,0,0.00,0,0,0,0,3,0.00,0.00,NO
74,0,0,0,0,0.00,0,0,0,0,2,0.00,0.00,NO
48,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
74,1,1,26,20,20.00,20,16,16,1,4,16.00,0.00,NO
86,0,0,0,0,0.00,0,0,0,0,4,0.00,0.00,NO
355,1,2,44,22,11.00,20,0,0,0,37,0.00,46.00,NO
53,0,0,0,0,0.00,0,0,0,0,3,0.00,0.00,NO
798,2,10,440,313,31.30,94,276,84,2,60,27.60,16.00,NO
75,1,2,52,44,22.00,38,36,35,0,6,18.00,7.00,NO
125,2,5,81,64,12.80,20,49,16,2,7,9.80,26.50,NO
200,2,6,143,129,21.50,81,115,77,2,21,19.17,21.60,NO
134,1,4,188,161,40.25,82,136,82,0,4,34.00,46.00,NO
57,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
123,1,2,21,18,9.00,15,17,15,0,1,8.50,56.00,NO
204,1,1,5,4,4.00,4,3,3,0,7,3.00,0.00,NO
162,1,1,162,162,162.00,162,162,162,0,17,162.00,0.00,NO
130,1,2,132,131,65.50,130,130,130,0,11,65.00,11.00,NO
108,1,1,108,108,108.00,108,108,108,0,2,108.00,0.00,NO
353,1,2,355,354,177.00,353,353,353,1,21,176.50,11.00,NO
80,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
28,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
57,0,0,0,0,0.00,0,0,0,0,3,0.00,0.00,NO
306,2,2,318,312,156.00,310,314,310,0,35,157.00,39.00,NO
340,1,1,260,77,77.00,77,166,166,0,27,166.00,0.00,NO
103,0,0,0,0,0.00,0,0,0,0,6,0.00,0.00,NO
35,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
98,0,0,0,0,0.00,0,0,0,0,7,0.00,0.00,NO
117,1,1,38,38,38.00,38,38,38,0,8,38.00,0.00,NO
84,1,1,84,84,84.00,84,84,84,0,1,84.00,0.00,NO
132,0,0,0,0,0.00,0,0,0,0,8,0.00,0.00,NO
98,1,2,100,99,49.50,94,98,94,1,5,49.00,32.00,NO
